CustomizationTablesMaxColors,ProdReference,Name,SEOName,Description,ShortDescription,SEOShortDescription,SEOShortDescriptionCap,IsTextil,HasColors,HasSizes,HasCapacitys,CombinedSizes,Gender,DefaultCustomizationIncludedInPrice,AvailableGross,BoxLengthMM,BoxWidthMM,BoxHeightMM,BoxSizeM,BoxWeightKG,BoxVolume,BoxQuantity,BoxInnerQuantity,Multiplier,Taric,Type,TypeCode,SubType,SubTypeCode,MainImage,BoxImage,BagImage,PouchImage,AditionalImageList,AllImageList,Brand,CountryOfOrigin,PvcFree,Properties,ProductCare,Certificates,WeightGr,Composition,Packing,Weight,Repacking,RefillType,BatteryType,Materials,PaperSize,PaperGramage,CapacityMah,CapacityGB,InkColor,OtherDetails,KeyWords,RelatedReferences,Video360,VideoLink,VideoLinkVimeo,Sizes,Capacitys,Colors,ProductComponents,ProductDefaultComponent,ProductComponentLocations,ProductComponentDefaultLocation,ProductComponentDefaultLocationAreaMM,ProductComposedLocations,CustomizationTypes,CustomizationDefaultType,CustomizationTables,CustomizationDefaultTable,CustomizationTableOptions,CustomizationTableOptionsMaxColors,CustomizationTableOptionsHandlingCosts,CustomizationTableOptionsHandlingCostCodes,CustomizationDefault,CustomizationDefaultTableMaxColors,CustomizationDefaultHandlingCosts,CustomizationDefaultHandlingCostCode,CustomizationDefaultPrintingLines,IsSeasonal,SeasonalOccasion,SeasonalStartDate,SeasonalEndDate,PriceByCapacity,IsStockOut,OnlineExclusive,NewProduct,YourPrice,ScalePrices,ProductOptionals,Components,CertificateFiles,Catalogs,UpdateDate,NoReplenishment,WebSku
"1, 1, 1, 1, 1, 2, 1",51716,CORNWELL. Lápis apontado com borracha,CORNWELL,Lápis apontado com borracha. Grau de dureza: HB. Produto certificado de acordo com a portaria Inmetro nº423 de 8/out/2021. A cor e o resultado da impressão nos materiais naturais pode variar entre produtos. ø7 x 190 mm,Lápis apontado com borracha. Grau de dureza: HB. Produto certificado de acordo com a portaria Inmetro nº423 de 8/out/2021. A cor e o resultado da impressão nos materiais naturais pode variar entre produtos,CORNWELL. Lápis apontado com borracha,CORNWELL. LÁPIS APONTADO COM BORRACHA,false,true,false,false,ø7 x 190 mm,,false,true,4.3,2.1,3.4,0.430X0.210X0.340,11.86,0.031,2160,144,1,9609.10.00,Escrita,2,Lápis,0160,51716_set.jpg,,,,,"51716_set.jpg, 51716_150-logo.jpg, 51716_150.jpg",hi!dea™,China,false,,,,,,,1,,,,Com borracha,,,,0,,,"lápis, 91716, kit de escrita, kits de escrita, criança, crianças, kids, kit criança, pintar, colorir, kits para pintar, escolar, certificado",51722,,,,,,Natural claro,Lápis,Lápis,Corpo,Corpo,40 x 5,Lápis - Corpo,"Laser, Tampografia, Silk Screen",Tampografia,"LSR1-01, LSR1-02, LSR1-03, LSR1-04, LSR1-05, PDP1-01, SCR2-01",PDP1-01-01,"LSR1-01-01, LSR1-02-01, LSR1-03-01, LSR1-04-01, LSR1-05-01, PDP1-01-01, PDP1-01-02, SCR2-01-01","1, 1, 1, 1, 1, 1, 2, 1",,,Lápis - Corpo (Tampografia - 40 x 5),2,0,,51716_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,SPOT,11/18/2024 09:03:06,false,51716-150
"1, 1, 1, 3, 1, 1, 1",57078,CASSINI 4'0. Bateria portátil com carregador wireless em alumínio 100% reciclado 4'000 mAh,CASSINI 4.0,"Bateria portátil com carregador wireless em alumínio 100% reciclado. Bateria de polímero de lítio com capacidade de 4'000 mAh e tempo de vida de ≥ 500 ciclos. Com LED indicador de carga, uma porta de entrada USB-C, uma porta de saída USB-A e potência de carregamento sem fios de 5W. Incluso cabo USB-C para carregar a bateria. Fornecida em caixa presente. 123 x 70 x 10 mm","Bateria portátil com carregador wireless em alumínio 100% reciclado. Bateria de polímero de lítio com capacidade de 4.000 mAh e tempo de vida de ≥ 500 ciclos. Com LED indicador de carga, uma porta de entrada USB-C, uma porta de saída USB-A e potência de carregamento sem fios de 5W. Incluso cabo USB-C para carregar a bateria. Fornecida em caixa presente",CASSINI 4.0. Bateria portátil com carregador wireless em alumínio 100% reciclado 4.000 mAh,CASSINI 4.0. BATERIA PORTÁTIL COM CARREGADOR WIRELESS EM ALUMÍNIO 100% RECICLADO 4.000 MAH,false,true,false,false,123 x 70 x 10 mm,,false,true,2.8,2.7,1.7,0.280X0.270X0.170,7,0.013,40,20,1,8507.60.00,Tecnologia,3,Baterias,24,57078_set.jpg,57078_127_box.jpg,,,,"57078_set.jpg, 57078_103.jpg, 57078_127_box.jpg, 57078_amb.jpg, 57078_a.jpg, 57078_104.jpg, 57078_105.jpg, 57078_105-b.jpg, 57078_105-c.jpg, 57078_105-d.jpg, 57078_127.jpg, 57078_133.jpg",hi!dea™,China,false,"Fornecido em caixa de oferta, LED, Our nature, Carregador wireless",,,,,Polybag,1,Sem polybag,,,Alumínio,,,,0,,,"carregador portátil, carregadores portáteis, baterias portáteis, powerbank, powerbanks, power bank, power banks, 97078, bluetooth, 11104","57909, 57344, 97166, 97167, 97171, 97172",,,,,,"Azul, Cinza escuro, Cromado satinado, Preto, Vermelho",Bateria portátil,Bateria portátil,"Frente, Verso",Frente,35 x 25,"Bateria portátil - Frente, Bateria portátil - Verso","Laser, Tampografia, Silk Screen",Laser,"LSR1-01, LSR1-02, LSR1-03, PDP2-01, LSR1-04, LSR1-05, SCR2-01",LSR1-01-01,"LSR1-01-01, LSR1-02-01, LSR1-03-01, PDP2-01-01, PDP2-01-02, PDP2-01-03, LSR1-04-01, LSR1-05-01, SCR2-01-01","1, 1, 1, 1, 2, 3, 1, 1, 1",,,Bateria portátil - Frente (Laser - 35 x 25),1,0,,57078_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",[object Object],,"SPOT,Últimas Chegadas,Our Nature",11/18/2024 09:03:06,false,57078-103
"1, 1, 1, 3",57252,FLOREY II. Caixa de som em alumínio com microfone em alumínio 100% reciclado,FLOREY II,"Caixa de som portátil com microfone, em alumínio 100% reciclado e detalhes em ABS 100% reciclado. Transmissão sem fios BT v5'0 e leitor de cartões microSD com 3W. Bateria com 400 mAh e autonomia aproximada de 3h. Função para atender chamadas, controle de volume e conexão à playlist do dispositivo móvel. Incluso cabo micro USB para carregar. Fornecido em caixa presente de papel kraft reciclado que pode ser reutilizada como suporte de celular. ø71 x 42 mm | Caixa: 80 x 80 x 60 mm","Caixa de som portátil com microfone, em alumínio 100% reciclado e detalhes em ABS 100% reciclado. Transmissão sem fios BT v5.0 e leitor de cartões microSD com 3W. Bateria com 400 mAh e autonomia aproximada de 3h. Função para atender chamadas, controle de volume e conexão à playlist do dispositivo móvel. Incluso cabo micro USB para carregar. Fornecido em caixa presente de papel kraft reciclado que pode ser reutilizada como suporte de celular",FLOREY II. Caixa de som em alumínio com microfone em alumínio 100% reciclado,FLOREY II. CAIXA DE SOM EM ALUMÍNIO COM MICROFONE EM ALUMÍNIO 100% RECICLADO,false,true,false,false,"ø71 x 42 mm | Caixa: 80 x 80 x 60 mm",,false,true,3.5,3.5,3.7,0.350X0.350X0.370,14.7,0.045,50,25,1,8518.21.00,Tecnologia,3,Mini Colunas,133,57252_set.jpg,57252_box.jpg,,,,"57252_set.jpg, 57252_103-logo.jpg, 57252_box.jpg, 57252_amb.jpg, 57252_103.jpg, 57252_104.jpg, 57252_109.jpg, 57252_127.jpg",hi!dea™,China,false,"Transmissão sem fios BT, Fornecido em caixa de oferta, Our nature, Leitor TF, ABS reciclado",,,,,Coluna em polybag,1,Polybag com 25 un.,,,Alumínio,,,,0,,,"caixas de som, caixa de som portátil, caixas de som portáteis, 97252, colunas de som, coluna de som, bluetooth, 11105","57253, 97097",,,,,,"Azul, Cromado satinado, Preto, Verde",Coluna,Coluna,Lateral,Lateral,20 x 15,Coluna - Lateral,"Laser, Tampografia",Laser,"LSR1-01, LSR1-02, LSR1-03, PDP2-01",LSR1-01-01,"LSR1-01-01, LSR1-02-01, LSR1-03-01, PDP2-01-01, PDP2-01-02, PDP2-01-03","1, 1, 1, 1, 2, 3",,,Coluna - Lateral (Laser - 20 x 15),1,0,,57252_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",[object Object],,"SPOT,Últimas Chegadas,Our Nature",11/18/2024 09:03:06,false,57252-103
"4, 4, 4, 3, 1",57906,HYPER. Carregador wireless rápido em ABS e silicone,HYPER,Carregador wireless super rápido em ABS e silicone. Com entrada USB-C e potência máxima de carregamento de 15W. Incluso cabo USB-C para carregar. Compatível com dispositivos móveis com tecnologia de carregamento sem fios. Fornecido em caixa presente. ø69 x 10 mm,Carregador wireless super rápido em ABS e silicone. Com entrada USB-C e potência máxima de carregamento de 15W. Incluso cabo USB-C para carregar. Compatível com dispositivos móveis com tecnologia de carregamento sem fios. Fornecido em caixa presente,HYPER. Carregador wireless rápido em ABS e silicone,HYPER. CARREGADOR WIRELESS RÁPIDO EM ABS E SILICONE,false,true,false,false,ø69 x 10 mm,,false,true,6.6,3.9,3.1,0.660X0.390X0.310,13.7,0.08,100,50,1,8504.40.10,Tecnologia,3,Carregadores e adaptadores,132,57906_set.jpg,,,,,"57906_set.jpg, 57906_103.jpg, 57906_106.jpg, 57906_106-c.jpg, 57906_114.jpg",hi!dea™,China,false,"Fornecido em caixa de oferta, Carregador wireless",,,,,,1,Caixa preta com janela,,,ABS e silicone,,,,0,,,"carregadores, carregador sem fio, carregadores sem fios, celular, celulares, 97906, certificado",57910,,,,,,"Azul royal, Branco, Preto",Carregador wireless,Carregador wireless,"Superior, Verso",Superior,40 x 40,"Carregador wireless - Superior, Carregador wireless - Verso","UV Digital, Tampografia, Silk Screen",Tampografia,"DUV1-01, DUV1-02, DUV1-03, PDP2-01, SCR1-01",PDP2-01-01,"DUV1-01-F, DUV1-02-F, DUV1-03-F, PDP2-01-01, PDP2-01-02, PDP2-01-03, SCR1-01-01","4, 4, 4, 1, 2, 3, 1",,,Carregador wireless - Superior (Tampografia - 40 x 40),3,0,,57906_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",[object Object],,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,57906-103
"4, 4, 4, 4, 4, 4",58377,CALIFORNIA. Toalha de praia em microfibra (250 g/m²),CALIFORNIA,"Toalha de praia em microfibra (250 g/m²). Fornecida com sacola em non-woven (80 g/m²). 1500 x 750 mm | Sacola: 330 x 415 x 100 mm",Toalha de praia em microfibra (250 g/m²). Fornecida com sacola em non-woven (80 g/m²),CALIFORNIA. Toalha de praia em microfibra (250 g/m²),CALIFORNIA. TOALHA DE PRAIA EM MICROFIBRA (250 G/M²),false,true,false,false,"1500 x 750 mm | Sacola: 330 x 415 x 100 mm",,false,true,4.6,3.8,4.7,0.460X0.380X0.470,9.06,0.082,250,50,1,6302.93.00,Sol & Chuva,11,Toalhas de Praia,0320,58377_set.jpg,,,58377_104-pouch.jpg,,"58377_set.jpg, 58377.jpg, 58377_104.jpg, 58377_104-pouch.jpg, 58377_105.jpg, 58377_105-pouch.jpg, 58377_106.jpg, 58377_108.jpg, 58377_108-pouch.jpg, 58377_119.jpg, 58377_119-pouch.jpg, 58377_124.jpg, 58377_124-pouch.jpg, 58377_131.jpg, 58377_131-pouch.jpg, 58377_133.jpg, 58377_133-pouch.jpg",hi!dea™,China,false,,,,250 g/m²,,,1,Sem polybag,,,Microfibra: 250 g/m²,,,,0,,,"tolhas, toalhas praia","92513, 98293, 98320, 98375",,,,,,"Amarelo, Azul, Azul claro, Bege, Branco, Cinza escuro, Verde claro, Vermelho","Toalha,Sacola",Toalha,"Toalha, Frente, Verso",Frente,280 x 200,"Toalha - Toalha, Sacola - Frente, Sacola - Verso","Transfer, Silk screen têxtil",Transfer,"TRS1-01, TRS1-02, TRS1-03, TRS1-04, TRS1-05, TXP1-01",TRS1-01-01,"TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, TRS1-04-01, TRS1-04-02, TRS1-04-03, TRS1-04-04, TRS1-04-F, TRS1-05-01, TRS1-05-02, TRS1-05-03, TRS1-05-04, TRS1-05-F, TXP1-01-01, TXP1-01-02, TXP1-01-03, TXP1-01-04","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4",,,Toalha - Toalha (Transfer - 280 x 200),4,0,,58377_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",,SPOT,11/18/2024 09:03:06,false,58377-104
"1, 1, 4",81156,CLARE. Esferográfica em alumínio e mecanismo twist,CLARE,Esferográfica em alumínio com mecanismo twist e clipe de metal. Disponível em elegantes cores. Até 2 km de escrita. Escrita em preto. ø10 x 140 mm,Esferográfica em alumínio com mecanismo twist e clipe de metal. Disponível em elegantes cores. Até 2 km de escrita. Escrita em preto,CLARE. Esferográfica em alumínio e mecanismo twist,CLARE. ESFEROGRÁFICA EM ALUMÍNIO E MECANISMO TWIST,false,true,false,false,ø10 x 140 mm,,false,true,3,2.5,1.9,0.300X0.250X0.190,11.5,0.015,500,50,1,96081000,Escrita,2,Esferográficas em Metal,0131,81156_set.jpg,,,,,"81156_set.jpg, 81156_106.jpg, 81156_amb.jpg, 81156_103.jpg, 81156_104.jpg, 81156_104-a.jpg, 81156_112.jpg, 81156_137.jpg, 81156_137-a.jpg, 81156_167.jpg",hi!dea™,China,false,"Escrita a preto, Mecanismo twist",,"MSDS, REACH",,,Polybag,22,Polybag,,,Alumínio,,,0,0,Preto,,"caneta, canetas, esferográficas, certificado, certificados","81000, 81147, 81155",,,,,,"Azul, Branco, Champanhe, Dourado satinado, Preto, Rosa claro",Esferográfica,Esferográfica,"Lateral clipe, Corpo, Superior, Corpo 2, Superior 2",Corpo,40 x 6,"Esferográfica - Lateral clipe, Esferográfica - Corpo, Esferográfica - Superior, Esferográfica - Corpo 2, Esferográfica - Superior 2","Laser, Tampografia",Laser,"LSR1-01, LSR1-02, PDP5-01",LSR1-01-01,"LSR1-01-01, LSR1-02-01, PDP5-01-01, PDP5-01-02, PDP5-01-03, PDP5-01-04","1, 1, 1, 2, 3, 4",,,Esferográfica - Corpo (Laser - 40 x 6),1,0,,81156_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],cert_81156.zip,"Últimas Chegadas,SPOT",11/18/2024 09:03:06,false,81156-103
"1, 1",92138,PHUKET. Mala de viagem executivo em ABS com interior forrado,PHUKET,"Mala de viagem executivo em ABS com interior forrado, com divisória. Fecho de segurança com senha na lateral, 4 rodas giratórias, pega extensível em alumínio, com mola (altura da pega estendida até 435 mm) e placa metálica removível, para fácil gravação. Mala com capacidade até 36 L e peso de 2.80 kg. 370 x 570 x 220 mm | Placa: 60 x 15 mm","Mala de viagem executivo em ABS com interior forrado, com divisória. Fecho de segurança com senha na lateral, 4 rodas giratórias, pega extensível em alumínio, com mola (altura da pega estendida até 435 mm) e placa metálica removível, para fácil gravação. Mala com capacidade até 36 L e peso de 2,80 kg",PHUKET. Mala de viagem executivo em ABS com interior forrado,PHUKET. MALA DE VIAGEM EXECUTIVO EM ABS COM INTERIOR FORRADO,false,true,false,false,"370 x 570 x 220 mm | Placa: 60 x 15 mm",,false,true,4,2.3,5.8,0.400X0.230X0.580,3.8,0.053,1,0,1,4202.19.00,"Mochilas, Malas & Pastas",5,Trolleys,200,92138_set.jpg,,,,,"92138_set.jpg, 92138_103-a.jpg, 92138_amb.jpg, 92138_103.jpg, 92138_103-c.jpg, 92138_103-d.jpg, 92138_103-e.jpg",hi!dea™,China,false,Pega com mola,,,,,Polybag,1,Sem polybag,,,ABS,,,,,,,"malas, viagens, trolley","92140, 92144, 92159, 92160",,,,,36 L,Preto,Trolley,Trolley,Placa,Placa,48 x 9,Trolley - Placa,Laser,Laser,"LSR1-01, LSR1-02",LSR1-01-01,"LSR1-01-01, LSR1-02-01","1, 1",,,Trolley - Placa (Laser - 48 x 9),1,0,,92138_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,92138-103
"1, 1, 1",92186,BUENOS AIRES. Mala de viagem executivo em ABS com interior forrado,BUENOS AIRES,"Mala de viagem executivo em ABS com interior forrado, com divisória. Fecho de segurança com senha na lateral, 4 rodas duplas giratórias, pega extensível em metal, com mola (altura pega estendida até 520 mm) e placa metálica removível, para fácil gravação. A mala tem capacidade até 37 L e peso de 2.50 kg. 355 x 555 x 225 mm | Placa: 29 x 29 mm","Mala de viagem executivo em ABS com interior forrado, com divisória. Fecho de segurança com senha na lateral, 4 rodas duplas giratórias, pega extensível em metal, com mola (altura pega estendida até 520 mm) e placa metálica removível, para fácil gravação. A mala tem capacidade até 37 L e peso de 2,50 kg",BUENOS AIRES. Mala de viagem executivo em ABS com interior forrado,BUENOS AIRES. MALA DE VIAGEM EXECUTIVO EM ABS COM INTERIOR FORRADO,false,true,false,false,"355 x 555 x 225 mm | Placa: 29 x 29 mm",,false,true,3.6,2.4,5.6,0.360X0.240X0.560,3.3,0.048,1,0,1,4202.12.10,"Mochilas, Malas & Pastas",5,Trolleys,200,92186_set.jpg,,,,,"92186_set.jpg, 92186_103-a.jpg, 92186_amb.jpg, 92186_103.jpg, 92186_127.jpg, 92186_127-a.jpg, 92186_127-c.jpg, 92186_127-d.jpg, 92186_127-e.jpg",hi!dea™,China,false,Pega com mola,,,,,Polybag,1,Sem polybag,,,ABS,,,,,,,"malas, viagens, trolley","92138, 92140",,,,,37 L,"Cromado satinado, Preto",Trolley,Trolley,Placa,Placa,20 x 13,Trolley - Placa,Laser,Laser,"LSR1-01, LSR1-02, LSR1-03",LSR1-01-01,"LSR1-01-01, LSR1-02-01, LSR1-03-01","1, 1, 1",,,Trolley - Placa (Laser - 20 x 13),1,0,,92186_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",[object Object],,SPOT,11/18/2024 09:03:06,false,92186-103
"4, 4, 4, 4",92290,SEATTLE. Pasta para notebook 14'' em soft shell de alta densidade,SEATTLE,Pasta para notebook em soft shell de alta densidade para notebook até 14'' com bolso frontal com zíper. 370 x 280 x 30 mm,Pasta para notebook em soft shell de alta densidade para notebook até 14'' com bolso frontal com zíper,SEATTLE. Pasta para notebook 14'' em soft shell de alta densidade,SEATTLE. PASTA PARA NOTEBOOK 14'' EM SOFT SHELL DE ALTA DENSIDADE,false,true,false,false,370 x 280 x 30 mm,,false,true,6.5,3.8,4.1,0.650X0.380X0.410,14.3,0.101,50,25,1,4202.12.20,"Mochilas, Malas & Pastas",5,Bolsas para PC/ Tablet,174,92290_set.jpg,,,,,"92290_set.jpg, 92290_103-c.jpg, 92290_amb.jpg, 92290_103.jpg",hi!dea™,China,false,,,,,,,26,Sem polybag,,,Soft shell de alta densidade,,,0,,,,"pastas, pastas para notebook, certificado","92314, 92352",,,,,,Preto,Pasta,Pasta,Frente,Frente,200 x 100,Pasta - Frente,Transfer,Transfer,"TRS2-01, TRS2-02, TRS2-03, TRS2-04",TRS2-01-01,"TRS2-01-01, TRS2-01-02, TRS2-01-03, TRS2-01-04, TRS2-01-F, TRS2-02-01, TRS2-02-02, TRS2-02-03, TRS2-02-04, TRS2-02-F, TRS2-03-01, TRS2-03-02, TRS2-03-03, TRS2-03-04, TRS2-03-F, TRS2-04-01, TRS2-04-02, TRS2-04-03, TRS2-04-04, TRS2-04-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Pasta - Frente (Transfer - 200 x 100),4,0,,92290_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,SPOT,11/18/2024 09:03:06,false,92290-103
